央视1频道,#genre#
CCTV1,http://113.98.122.166:9901/tsfile/live/1001_1.m3u8?key=txiptv
CCTV2,http://113.98.122.166:9901/tsfile/live/1002_1.m3u8?key=txiptv
CCTV3,http://113.98.122.166:9901/tsfile/live/1003_1.m3u8?key=txiptv
CCTV4,http://113.98.122.166:9901/tsfile/live/1004_1.m3u8?key=txiptv
CCTV5,http://113.98.122.166:9901/tsfile/live/1005_1.m3u8?key=txiptv
CCTV6,http://113.98.122.166:9901/tsfile/live/1006_1.m3u8?key=txiptv
CCTV7,http://113.98.122.166:9901/tsfile/live/1007_1.m3u8?key=txiptv
CCTV8,http://113.98.122.166:9901/tsfile/live/1008_1.m3u8?key=txiptv
CCTV9,http://113.98.122.166:9901/tsfile/live/1009_1.m3u8?key=txiptv
CCTV10,http://113.98.122.166:9901/tsfile/live/1010_1.m3u8?key=txiptv
CCTV11,http://113.98.122.166:9901/tsfile/live/1011_1.m3u8?key=txiptv
CCTV12,http://113.98.122.166:9901/tsfile/live/1012_1.m3u8?key=txiptv
CCTV13,http://113.98.122.166:9901/tsfile/live/1013_1.m3u8?key=txiptv
CCTV14,http://113.98.122.166:9901/tsfile/live/1014_1.m3u8?key=txiptv
CCTV15,http://113.98.122.166:9901/tsfile/live/1015_1.m3u8?key=txiptv
CCTV16,http://113.98.122.166:9901/tsfile/live/1016_1.m3u8?key=txiptv
CCTV17,http://113.98.122.166:9901/tsfile/live/1017_1.m3u8?key=txiptvu8

央视联通,#genre#
CCTV1HD,http://mtw.so/6heoTA
CCTV2HD,http://mtw.so/6oKBGx
CCTV3HD,http://mtw.so/6wgOLe
CCTV4HD,http://mtw.so/5y789F
CCTV5HD,http://mtw.so/5FDiD4
CCTV6HD,http://mtw.so/5NPW4c
CCTV7HD,http://mtw.so/62RWcG
CCTV8HD,http://mtw.so/69IbP3
CCTV9HD,http://mtw.so/6heoS8
CCTV10HD,http://mtw.so/6oKBGH
CCTV11HD,http://mtw.so/5y75Nx
CCTV12HD,http://mtw.so/5GnVnH
CCTV13HD,http://mtw.so/5NPWhK
CCTV14HD,http://mtw.so/5Vm9mr
CCTV15HD,http://mtw.so/69Ic2B
东方卫视HD,http://mtw.so/6hep7i
北京卫视HD,http://mtw.so/6wgP0y
